subject,n,n_mw,intercept,zipf_c,length_c,order_z,is_mw,zipf_x_mw,length_x_mw,order_x_mw
0,6268,1290,5.321620104561083,-0.020486147818295296,0.0029794123296870687,0.014023020359630982,0.007064566443490411,-0.000663440487676484,-0.009695227071757084,0.0003416846326513567
1,7041,943,5.316430957458309,-0.0016351427533818827,0.0018795984139967582,-0.005377878267327371,0.05204055168301562,-0.022788887548484456,-0.008172683373455131,-0.01364861815880432
2,10004,224,5.2973580472130015,-0.033650720687950705,0.004109442973831175,0.00308623463825044,0.14927477631385971,0.06936367650858895,0.020113890567951414,0.07571479877951348
3,8656,513,5.189451862673368,-0.0011071651088260313,0.002810182630544107,-0.004505822098022772,0.04540122276412951,-0.01036489493720829,-0.009270575426973963,0.05675974065920613
4,6381,496,5.153895179476429,-0.005179410007256411,-0.0031867545141918067,0.005649718321203583,0.08441187080229524,0.03312529993923484,0.004508623378364864,-0.005794803837363618
5,6417,419,5.326130084903532,-0.019906116459777818,0.005386550207860938,-0.014307391264771405,0.06253627202629242,0.014587198463729972,0.0040134997524419675,0.008804782910388506
6,8639,483,5.192549663381504,-0.018221297054177615,-0.006781694204585155,-0.007843009524745448,0.059266069602152825,0.03817325850973182,0.022083915520339923,0.006904802288172727
7,9746,266,5.217525396349993,-0.013296203730571825,-0.005353777335425286,-0.02089777348204705,0.0165078444350437,0.02557447356751963,0.011832723847176086,0.025849688614754084
8,10413,68,5.143971236731126,-0.01819855236056115,-0.0003055558327548746,-0.012734444761865173,0.10083996053284007,-0.004979638397099821,0.001518812334260474,0.02073042325868185
9,5608,734,5.324012450574907,-0.0029947433871718634,-0.0015346068763626025,-0.031051979767624544,0.06016970350226602,-0.027460944668037474,-0.011864946540809822,-0.020979331254735133
10,8391,54,5.260299789871184,-0.009045906566172192,0.007957094218889835,-0.006915491844082615,-0.014033204877769392,0.03942558501576843,0.04849928809309403,-0.0458273792012925
11,10619,260,5.105938835952175,-0.013716211197928319,0.0009528653555563213,-0.01170896867328812,0.014492169097467424,0.03813367267780087,0.00819045575025685,0.053377620792181876
12,4625,572,5.477041205639328,-0.007389936008018644,0.0025373138850583355,-0.03686128389101016,0.03267633230582191,-0.03456050911955621,-0.013795369057183406,-0.014940994255174773
13,7778,816,5.3592219765905265,-0.038860569998827615,0.004147135936820563,-0.009925126784700406,0.041248687617225346,-0.013146360688207851,0.0019662579557615753,0.0065288932764977535
14,9857,1586,5.222973270909765,-0.014682589423519896,0.004223716694697027,-0.022494896650618653,0.029794714952167376,-0.005150518339574412,-0.00782805932035177,0.012765930831758658
15,9640,534,5.446225330679996,-0.01835416148525915,-0.01274995926526651,-0.0351412320229077,-0.014138165528479687,0.03458404996377664,0.0024929230209571962,0.008590843314672083
16,10492,1551,5.485810649518642,-0.026835495797200584,-0.002798728627047816,-0.011563179356153157,0.015942645366100405,0.0075624013100834804,0.00809598990860051,-0.000992481634659508
17,6159,887,5.095595269526316,-0.016475721948734933,0.002342943653897748,0.0019932839333423246,0.07368908602389021,0.03340224064927996,0.005490595791747399,-0.012393980410702483
18,9907,727,5.301398788704205,-0.018613405049285613,-0.003656693441652925,0.007677225473679061,0.03685295488661751,0.006955306462013909,-0.0035193080206818088,-0.01274827824224055
19,6569,183,5.313055969220518,-0.022092774893820867,0.0027622339509321583,-0.008637496947628156,0.06416931274511736,-0.04357547045869367,-0.028776440902624743,-0.03184805708770561
20,13807,206,5.20388699424432,-0.037336667303995784,-0.008004534420613543,0.005314584782543512,-0.03447893539751496,0.02351110251993067,0.010029444738632475,0.03832090154755683
21,4470,446,5.359158454121305,-0.024116815514034152,0.000966846124969064,-0.025251762317646042,0.010386199139879454,0.02720780745533982,0.004138866462872636,-0.012588989090049716
22,10036,430,5.263674318513184,-0.02006016465820991,0.0047516829175888375,0.011649479232017066,0.05499918889401861,-0.007835524373749876,-0.00230982425133556,-0.0366503854692262
23,7901,1242,5.282148550098279,-0.011905204613477511,0.0027202094964836995,-0.002131672465731251,0.041688850002768625,-0.0013406240654971935,-0.0018490680197550417,0.009282075004834052
24,8010,872,5.287977515069838,-0.021914364729261032,0.0024629867551217086,-0.015911898081828472,0.09196831117837553,-0.00633708038026021,0.00441932490935135,0.011967814779158878
