sub_id,n_trials,mw_rate_page,mw_frac_all,frac_trials_mw_on_answer,hit_rate_given_mw,acc,acc_when_mw_on_answer,acc_when_clean,within_reader_cost
s10014,35.0,0.7142857142857143,0.22193439509927645,0.45714285714285713,0.64,0.6857142857142857,0.4375,0.8947368421052632,0.45723684210526316
s10052,47.0,0.2765957446808511,0.1340849436759044,0.19148936170212766,0.6923076923076923,0.6170212765957447,0.5555555555555556,0.631578947368421,0.07602339181286544
s10059,46.0,0.06521739130434782,0.0187903038355183,0.043478260869565216,0.6666666666666666,0.5217391304347826,,0.5227272727272727,
s10073,45.0,0.2222222222222222,0.07281955921723623,0.13333333333333333,0.6,0.4,0.3333333333333333,0.41025641025641024,0.07692307692307693
s10081,38.0,0.47368421052631576,0.08833917390773197,0.13157894736842105,0.2777777777777778,0.7894736842105263,0.8,0.7878787878787878,-0.0121212121212122
s10084,40.0,0.425,0.07039412387502217,0.15,0.35294117647058826,0.55,0.16666666666666666,0.6176470588235294,0.4509803921568628
s10085,35.0,0.5714285714285714,0.05107165378133492,0.2,0.35,0.6285714285714286,0.7142857142857143,0.6071428571428571,-0.1071428571428572
s10089,45.0,0.13333333333333333,0.031018074256690228,0.044444444444444446,0.3333333333333333,0.6222222222222222,,0.6511627906976745,
s10094,50.0,0.04,0.017404639103348437,0.04,1.0,0.78,,0.7708333333333334,
s10100,34.0,0.7058823529411765,0.12794453748062923,0.23529411764705882,0.3333333333333333,0.4411764705882353,0.125,0.5384615384615384,0.41346153846153844
s10103,44.0,0.11363636363636363,0.005749056053815762,0.022727272727272728,0.2,0.7045454545454546,,0.7209302325581395,
s10110,41.0,0.3170731707317073,0.030021612818249614,0.14634146341463414,0.46153846153846156,0.6829268292682927,0.5,0.7142857142857143,0.2142857142857143
s10111,33.0,0.5757575757575758,0.15946665241747918,0.30303030303030304,0.5263157894736842,0.6060606060606061,0.4,0.6956521739130435,0.29565217391304344
s10115,38.0,0.4473684210526316,0.09558203881126012,0.21052631578947367,0.47058823529411764,0.5263157894736842,0.625,0.5,-0.125
s10117,44.0,0.36363636363636365,0.15537199947395755,0.20454545454545456,0.5625,0.5454545454545454,0.3333333333333333,0.6,0.26666666666666666
