subject,full,h0,h1
0,3.381593247027919e-19,-2.6536133896107306e-18,-6.687331564467667e-19
1,9.119285196060081e-19,1.2943622060780529e-18,3.767954029104605e-18
2,-5.700452742796803e-19,3.8004749356164876e-19,-6.004362889546579e-19
3,1.2272983517409718e-18,-2.6192484140028716e-18,3.364142605319465e-18
4,-1.5267857956556907e-18,-9.983165504063236e-20,-1.8769602809298585e-18
5,4.561579331857713e-20,-7.751540446179879e-19,4.5360566614657046e-18
6,2.1870420881787583e-18,2.9642474830952373e-18,-3.526835517615565e-18
7,-6.878770709317582e-19,-3.1258382072731927e-18,-4.618278631975451e-18
8,2.2285269820748396e-19,-8.025926697450855e-19,-3.929535158481799e-19
9,-3.7442169914901367e-19,-1.5641912375130126e-19,-1.0883770238446782e-18
10,2.441052006002394e-19,-1.727606807247795e-19,-1.7861561471606904e-18
11,7.119140315485449e-19,3.0839898277510613e-20,2.9610399052788992e-18
12,1.7186546593971889e-18,2.3675479442422408e-18,5.953933084018285e-19
13,-1.3473706696287982e-18,-2.0405719823014506e-18,-2.0224491844191583e-19
14,-9.38600149982448e-19,-1.0955747444964373e-18,-2.255053735420304e-18
15,1.2895729419706266e-20,1.8539989739297202e-18,-7.804533192080043e-19
16,1.2743463772688176e-18,7.84696170172327e-19,1.6524773180152377e-18
17,8.498775041475208e-19,-1.3904840646566612e-19,9.084521131727086e-18
18,8.299316773155742e-19,2.259108024817724e-18,7.820170912585013e-19
19,2.0762195954635813e-18,4.719274678717009e-18,-1.4519730542722272e-18
20,1.517714443653812e-18,2.3602159719325334e-18,4.0384051106716113e-19
21,-7.517285258074115e-20,2.3916369073308764e-18,-3.094691212347488e-18
22,-1.2493097641837786e-19,-8.370176108568999e-19,3.032485409139853e-19
23,-9.641151141504561e-20,8.008005832352295e-19,9.029654245890036e-19
24,3.692663838219244e-19,-8.250027738471832e-19,1.2143752628611556e-18
25,-8.469547925837042e-19,-2.5569870711989724e-18,-1.8616988036426927e-19
26,-5.421439955917255e-19,1.757601320523224e-20,-4.580407398963927e-19
27,7.5825680491276705e-19,5.3085761452621465e-18,-2.641822950994822e-18
28,2.8515525367027794e-19,-6.12545389520087e-20,-1.3954098020200309e-18
29,-1.6280194147318027e-18,-4.127871739297639e-18,2.07034848243586e-18
30,-1.4013652132794521e-18,-1.82384912357295e-18,-3.4134357157891915e-19
31,7.591147601027446e-21,5.593655177464405e-19,-6.706080771722529e-20
32,-3.3437955745061242e-18,-5.938247506500469e-18,3.675405901275526e-19
33,3.3277117907416148e-18,1.140925725965566e-18,9.146161398180043e-18
34,-1.491957164140258e-18,-2.55178590128834e-18,-1.2529882328282878e-18
35,3.319874949197028e-19,1.3355064779414602e-18,-9.998912154682544e-19
36,9.205727391657752e-19,-7.189054073553368e-19,4.425477574521346e-18
37,-2.490802883094215e-18,-1.1723663573675945e-19,-8.074450633060976e-18
38,-2.681117118091605e-18,-8.401509562479904e-19,-7.417694813440591e-18
39,-7.503388697268984e-19,-1.2937631449149743e-19,-1.4744849313908623e-18
40,1.0324145680178782e-19,5.647614183506591e-19,5.012802843789213e-19
41,-5.032928384734394e-19,8.60676954842008e-20,-4.412327719081031e-19
42,-4.43059403375025e-19,-1.003561077549051e-18,-7.200881008073709e-19
43,-5.01379803977704e-20,1.222299608501691e-18,-5.549754611111086e-18
