subject,full,h0,h1
0,-8.838977252509247e-20,-8.888377551310243e-19,-3.1586713828274784e-18
1,-3.308544090231772e-20,-3.2507923731273853e-20,9.604843603091914e-19
2,2.0440881037527545e-19,2.8345916264211144e-18,-3.6487836133988643e-19
3,1.0995338928970642e-18,-4.2645038916776714e-19,4.964245726764147e-18
4,1.794245240198897e-19,-3.4225048139845686e-19,1.03276453347001e-18
5,-7.05589221653958e-20,5.50058955680255e-19,3.214449620997917e-18
6,-4.076200963165241e-19,8.95964961387061e-19,-4.333425437015051e-18
7,1.8838733936260993e-19,-2.575140368502566e-18,-2.1272588637586105e-18
8,-4.065871742215587e-19,-1.1131867895205766e-19,-2.737315480737366e-18
9,-1.7243234632615761e-18,-1.7071920709734523e-18,-5.113689497110127e-18
10,5.143364362623349e-20,-3.7606942744059525e-19,-9.596479667103721e-21
11,1.8687895960112167e-19,-5.5278958624118865e-19,1.7045979644529685e-18
12,2.2956156744308477e-19,-1.322886597793936e-19,-1.8228687709552394e-18
13,-3.944984250601834e-19,-5.758540128495036e-19,-2.634389149637697e-20
14,-3.175983862592835e-19,-4.2053027354285736e-19,-1.3470836954996849e-19
15,-6.576256507454458e-19,1.5966029565107451e-19,-3.743831922797961e-18
16,6.021600184761794e-19,1.125352838122866e-19,2.243364151826685e-18
17,8.46160602268305e-19,4.1483635269693243e-19,6.093084581470303e-18
18,1.8069741805387315e-19,9.56736247082281e-19,-9.098294898731921e-20
19,4.467088271143082e-19,-3.718914298112457e-18,-4.979016645246697e-19
20,8.723231461319259e-19,7.288427930450148e-19,1.839016367898955e-18
21,-2.6002314883964018e-18,-1.6002014749102221e-18,-3.927666829221876e-18
22,-1.1862531972268416e-19,-3.6242226232138566e-19,2.0755682674327381e-19
23,-4.0555336774407263e-19,-4.236670361361658e-19,4.716902354227731e-19
24,2.5335886332853596e-19,-1.75378980274702e-18,2.1765083852644296e-18
25,-4.220854806202375e-19,-2.2774271419179957e-18,2.666046061664812e-19
26,-4.960676988645748e-19,-3.3582568184617954e-19,-4.925349273228601e-19
27,1.1516261321217421e-18,3.860738274630131e-18,-1.2150132091312745e-18
28,-6.676135965051815e-19,1.5428670950324605e-19,-3.825819151485038e-18
29,6.056264904985325e-19,7.823213503050046e-19,1.4786076362742524e-18
30,-1.3482452780693378e-18,-1.9393810301163423e-18,7.552496018913454e-19
31,4.65913431884723e-20,1.854387474691541e-19,-1.1117208632443105e-19
32,-4.765778383945107e-19,-1.6556117424745296e-18,-3.262308479556338e-18
33,1.9711730560740362e-18,1.8106979274195976e-18,2.9159306794545066e-19
34,6.489495682630147e-19,-3.2521286078111584e-19,2.8856042483939633e-18
35,1.6506536436486014e-19,1.1683360556407562e-18,-1.0988039268777065e-18
36,1.1357784830185475e-18,1.5700028821532621e-18,2.122395682559291e-18
37,1.862181367966059e-18,1.3876405702643783e-18,-8.55961706792437e-19
38,-9.066914673857495e-19,3.481017892957201e-19,-3.1042727860997267e-18
39,-9.577494823607193e-20,-5.861800289027767e-19,5.572546943891005e-19
40,4.8755778691818515e-20,4.070034238544725e-19,9.79083281507175e-21
41,2.3823584762504316e-19,4.247013326932333e-19,-3.7145768626808277e-19
42,-2.5656650186113957e-19,-8.148795809898287e-19,-6.2149038356827455e-19
43,-8.670267814765752e-19,-1.3576486531387093e-19,-4.039850012686057e-18
