subject,is_mw,n,importance,zipf,length,surprisal
0,0,3296,0.012164182485342574,4.5028463919292645e-17,-1.6386125876355188e-16,0.01355789655924639
0,1,925,-0.039878302806582194,-4.4049659113281834e-16,-4.693758853772705e-16,-0.06611513550446646
1,0,4371,0.016844477567746464,-1.620798151224237e-15,2.4302038907513906e-16,0.02730212046970156
1,1,692,0.04627740880000089,-1.4628424965036887e-16,1.2495964796361351e-17,0.1926817117992929
2,0,6792,0.023558839399649038,8.728678294676629e-17,2.3018760434141616e-16,0.06026925073217763
3,0,5255,-0.008594467329536866,1.2262735813465478e-15,5.74028220121284e-16,0.004760037015427823
3,1,323,0.016409353254098005,-4.1294750204717436e-16,-2.924589705401399e-16,-0.09720110569389241
4,0,4620,-0.0025690344833050535,1.0806536250454165e-16,1.1513273714115796e-16,0.045409684661206276
4,1,357,0.02225836132280231,-1.4615520020791102e-16,1.028333641646608e-15,0.1740969353429768
5,0,4816,0.021835131277108226,-1.507813436658084e-16,1.4510826882047836e-16,0.049249987918190595
5,1,297,-0.12453095461428375,7.139913626421817e-15,-4.672445094037608e-15,0.017335647314785634
6,0,5107,-0.009091222687901157,1.6889109807632646e-15,2.1317166686549824e-16,0.05539107208576514
6,1,340,0.32329095018201154,0.8879580370231233,-3.6527725295240647,0.02658327191074421
7,0,6522,0.00422324984029789,-1.7598374862288334e-16,-1.1913985411182322e-17,0.04391481180968749
7,1,182,0.09877055942888986,-4.481105924734181e-15,2.175920915973665e-15,0.044873482625150465
8,0,6772,-0.024706639900710634,-2.0054657399895316e-15,3.0808794700701436e-16,0.053408596675663014
9,0,3605,0.0067529630111528875,-4.466987911408452e-16,-4.251044338653198e-17,0.042960090805232186
9,1,581,0.03027905439982801,-4.153501653791426e-15,-6.757059070492276e-16,-0.00303357110311795
10,0,5987,0.007961814227731148,-3.375566890292901e-16,-1.2877851589919283e-16,0.06840885740055014
11,0,5771,-0.007743179945259582,-1.1644465959134663e-16,4.654088838565157e-16,0.0608321971402205
11,1,175,7.059025854466438,14.676582429653044,-9.800890432464866,-0.1247165738764772
12,0,3105,0.018098469781068417,2.9598069416181646e-16,-2.52107890171858e-15,0.024817503850588472
12,1,419,-0.08806277477003799,9.110120802135348e-16,3.7175544447722046e-14,0.08552306620242471
13,0,4963,-0.0012926889965549483,-1.0564689176680999e-16,-6.262806730293479e-17,0.06551573814121667
13,1,604,0.034870066911787546,4.1985822016264705e-16,-9.896451123016024e-16,-0.09369187003981133
14,0,5129,0.009254255976085153,-6.260233452350793e-16,-1.5529786659628762e-16,0.08437849959575673
14,1,959,-0.08338515984081078,1.1253302459832526e-15,-4.4394333807401642e-16,-5.173601199886611e-06
15,0,6309,0.0002705038954772047,-3.722976392119431e-16,3.19114529388331e-17,0.03636486052148582
15,1,345,-0.3014582824110648,-2.9816070634826793e-16,3.3519410304617897e-16,-0.011079431248627163
16,0,5868,0.0035864283060187724,1.7314068633310908e-15,1.2563787512757616e-16,0.09203693899206435
16,1,989,-0.047728517012823476,1.9355546703569347e-15,1.0631777296406736e-16,0.13682626435033055
17,0,3799,0.014576264767130259,-8.150045122915945e-17,6.826385096642073e-17,0.0899038085038006
17,1,584,-0.013552154148350445,0.7145004609504225,-0.2059574654209019,0.1103497230005268
18,0,5611,0.020740967438737802,1.006243774939198e-15,4.953829682182102e-16,0.03583514603142809
18,1,417,-0.1602835244416424,0.06202759058460434,-4.2348313304682454,0.07143942792888545
19,0,4942,0.0026528510317580436,5.633897369860876e-16,8.734912502461135e-16,0.06787300783225407
20,0,8058,-0.0005177462088379775,1.1685747543598437e-16,2.7999991923740505e-17,0.09369932941952398
21,0,3465,0.018065843463608212,-3.374486122291757e-17,4.236478849310637e-16,0.01857544048606083
21,1,360,0.1684051900690827,-1.1336680113524846,-1.3974702010300857,0.04375827734881246
22,0,6648,0.0038287993587715814,-8.55340393769311e-16,-4.092928569842317e-17,0.04489115624847941
22,1,284,-0.0857874676463274,-0.13871237914906545,1.3066042577502526,0.11212590679167944
23,0,4073,0.016434971974397777,8.738575589600604e-17,-5.641465274668609e-16,0.04902040266528391
23,1,724,0.005194170947805179,5.905899119443785e-17,-5.324875874667843e-16,-0.03593132046538116
24,0,4852,0.018369711392028226,-6.113740833132548e-17,9.817924570990733e-18,0.0547496684612496
24,1,552,0.1046964289842705,0.0710699433208067,-0.2679622574187414,-0.0866506202240042
25,0,4480,-0.006954733118255737,1.1013156998755585e-15,-3.2734700404416607e-16,0.07961626450004826
25,1,604,-0.14928609932507989,7.527543734415135e-17,1.3090523582846067e-16,-0.028030844285660453
26,0,3861,0.0155731471945321,-1.4693200256075751e-16,8.503736138826617e-17,0.052257375893840295
26,1,490,0.0012178230106742777,13.310882133470283,10.862700544216871,-0.006257787077218435
27,0,5679,0.010855054525562444,2.4486740308869124e-15,3.5741201563030505e-16,-0.004229882449195836
27,1,233,0.29675381030228726,-0.36975299308800197,1.914777103396917,0.23832009919525857
28,0,4897,0.027781166819975073,8.960070518358277e-17,-1.3319643365108086e-17,0.02589140080833664
28,1,818,-0.03642576298933731,0.17656560741114344,-0.39961748681591885,0.09167866100116553
29,0,5427,-0.009801989557237057,8.194565501463326e-16,1.8699113324704736e-16,0.0305081642646131
