subject,is_mw,n,importance,zipf,length,surprisal
0,0,3296,0.00865665473924058,-0.07198301440219067,0.10403048099779214,0.040455129592748586
0,1,925,0.024163859137013587,-0.11361297689657969,0.04308691932238629,0.03390450062914694
1,0,4371,0.013278733868272073,-0.0406065636591831,0.08547823328795026,0.02130311504521837
1,1,692,0.02975698818735759,-0.05965733486496691,0.09781374816303691,0.03164234580155707
2,0,6792,0.03040309767002484,-0.08259690639813409,0.10401059965681388,0.07737345712668252
3,0,5255,0.005306511924812781,-0.07745325787718134,0.09462799381194628,0.017057053764338366
3,1,323,-0.019061419105727104,-0.03316809433127986,0.16543069868524574,0.022779094671218466
4,0,4620,-0.00143894459394685,-0.03186564553097754,0.06281794184022828,0.05153985163592395
4,1,357,0.09675037901179563,-0.06894326917807048,0.03677218079573705,0.04713244454490224
5,0,4816,0.02432297306438543,-0.0535688885301655,0.08049037679310113,0.05750245022772301
6,0,5107,-0.011063341434809255,-0.09046207162991828,0.0950402431599465,0.07046738158773933
6,1,340,-0.0703471877305379,-0.1876598543616547,0.07022499077036211,0.013635393441222369
7,0,6522,0.011234656089843798,-0.09368144878567299,0.04073041137569726,0.046208139649672283
8,0,6772,-0.024061065534337702,-0.10146608744030687,0.09652240530453662,0.05259200082741875
9,0,3605,0.01290468807802221,-0.05646047778391872,0.08643764629106826,0.01599336587305364
9,1,581,0.03751116358061613,-0.08114212432770063,0.08984527223797587,0.02998154500535243
10,0,5987,0.013363901035765055,-0.03935457614093479,0.12534511700894818,0.06081218541989146
11,0,5771,-0.004011628490288455,-0.05875397761996566,0.15650207513532316,0.07375834593601167
12,0,3105,0.012783017349800098,-0.046004888008538095,0.08512107128586896,0.01674634516251341
12,1,419,-0.17063114324640774,-0.08045892801293644,0.07935429330955115,0.030000516834458243
13,0,4963,0.0007321536478267823,-0.11928713653835106,0.1192817426677541,0.04819651351760295
13,1,604,-0.0342529850120624,-0.16732545643861085,0.14084496994996945,-0.02234084035172874
14,0,5129,0.018936706730690468,-0.07069032844600735,0.1340277954935708,0.059477810173712176
14,1,959,-0.054310310220063454,-0.08674482980966809,0.13466806219882763,0.043625650795049285
15,0,6309,-0.0013910276308319164,-0.08685333262429411,0.03782571433992844,0.05769947546919934
15,1,345,-0.2547838609829083,-0.109237528739689,0.050593191402210344,0.020049813200769734
16,0,5868,0.004475387240789692,-0.08874023664582373,0.12862186048161348,0.07725581863443763
16,1,989,-0.03795633584363097,-0.08680353986416178,0.14325059047885827,0.0817256751323599
17,0,3799,0.020853623439007696,-0.03332794522905557,0.11238271942797973,0.07389984945841264
17,1,584,0.06199893515175342,-0.014461653828144667,0.14292619191026867,0.05316547933602655
18,0,5611,0.02250619989166301,-0.07497281268686218,0.13962914371903506,0.03009762541757519
18,1,417,-0.0003319441377352313,-0.005640775255584445,0.16449248546355985,0.0729688698084345
19,0,4942,0.007553103514312048,-0.059469280925908516,0.08613847075739817,0.06196284077564996
20,0,8058,-0.0009469634532438606,-0.1395078234843583,0.09985979195982364,0.09321324340744794
21,0,3465,0.007345083196758915,-0.07330372514507506,0.04303451249762155,0.04061893030751328
21,1,360,0.06641883703474892,-0.05404656399547286,0.10669669406541919,-0.008213071848531877
22,0,6648,0.006412573287801851,-0.07571027824665867,0.1201810955087561,0.05219508709582833
23,0,4073,0.022222831061020198,-0.05253406418637202,0.11146700506110148,0.04595916263533115
23,1,724,-0.12266891351724923,-0.011094617212429348,0.14649717936429235,0.06876541969707685
24,0,4852,0.008566526527494662,-0.09510933987210986,0.11885767534736935,0.05044287816539597
24,1,552,-0.04593315547543069,-0.098804744120857,0.20652450435145142,0.005921929746582539
25,0,4480,-0.0047178609921183536,-0.07414618862853524,0.11808387336287475,0.06423853922058051
25,1,604,-0.10413087489980519,-0.1317082098250769,0.09711008069232602,0.016218812513667382
