subject,bin,n,skiprate,zipf,length,surprisal
0,first third,303,0.20462046204620463,0.47604069067059296,-0.5056217373845536,-0.37340866290018837
0,middle third,325,0.25846153846153846,0.5151155898043864,-0.6057103339261016,-0.4095206317428539
0,last third,326,0.254601226993865,0.5100897416827805,-0.5799494273389856,-0.3295154185022027
1,first third,318,0.3333333333333333,0.407440370238519,-0.45118369526521895,-0.3602693602693603
1,middle third,256,0.36328125,0.3712645952899267,-0.47239263803680986,-0.33794295592048396
1,last third,258,0.29069767441860467,0.3508196721311476,-0.4002185792349727,-0.33947028423772607
3,first third,119,0.17647058823529413,0.5393586005830904,-0.6044703595724004,-0.3096774193548387
3,middle third,109,0.1926605504587156,0.37337662337662336,-0.6022727272727273,-0.3597560975609756
3,last third,92,0.22826086956521738,0.6351441985244801,-0.7015425888665325,-0.42288557213930345
4,first third,110,0.24545454545454545,0.37661758143685864,-0.4814814814814815,-0.2748717948717949
4,middle third,99,0.3333333333333333,0.18181818181818188,-0.303030303030303,-0.11228813559322037
4,last third,91,0.3076923076923077,0.22619047619047628,-0.391156462585034,-0.2728395061728395
5,first third,89,0.30337078651685395,0.5352449223416966,-0.6792114695340502,-0.41890166028097064
5,middle third,84,0.3333333333333333,0.2455357142857142,-0.47959183673469385,-0.23555555555555552
5,last third,82,0.36585365853658536,0.55,-0.5480769230769231,-0.2293144208037825
6,first third,75,0.14666666666666667,,,
9,first third,231,0.354978354978355,0.5112129644786381,-0.6424946799803568,-0.40751173708920185
9,middle third,210,0.3761904761904762,0.3777176538796019,-0.4927046091409798,-0.26434599156118144
9,last third,208,0.3173076923076923,0.40140845070422526,-0.4759923175416133,-0.25304247990815154
12,first third,136,0.21323529411764705,0.40670319046084424,-0.6152110860457622,-0.3196248196248196
12,middle third,107,0.24299065420560748,0.42972459639126304,-0.4292497625830959,-0.2257085020242915
12,last third,90,0.2222222222222222,0.5164285714285715,-0.6392857142857142,-0.40312499999999996
13,first third,193,0.21243523316062177,0.5436456996148908,-0.5444480102695763,-0.4868208714362561
13,middle third,183,0.18579234972677597,0.5047374654559811,-0.5823134622976707,-0.3943661971830986
